=== Stage 0: Bootstrap introspection ===|unbuildable||stage_0
./MonsterLean/AbelianVariety.lean|09c97792f2b47c90d498654536754e32bd1bf4237d89353d2510d6c5f01676a1|shard_69|stage_3
./MonsterLean/Basic.lean|90e6d8349f7194063271e50b9c213e3d90be032875ea9d14d52d57e36d86b7e5|shard_64|stage_3
./MonsterLean/BisimulationProof.lean|2bdb6d37e6958349a0f8790b71233a19dbf1a2a8c52e5d7058c525044b3fac07|shard_12|stage_3
./MonsterLean/BottPeriodicity.lean|2a79defbe04b93ff74e27cdb6b5d9b38b2c19323ab9e31be6a1ad4921f6fd59b|shard_29|stage_3
./MonsterLean/CathedralBridge.lean|3b7b5fff7db911dee2e1a8c62a39c6aa64237f9befb1e501ca03373a28395b36|shard_37|stage_3
./MonsterLean/ComplexityLattice.lean|5d7a3f96f694623652c92334784b2f8d1bcbf88520b2bc018d13e69de6953538|shard_28|stage_3
./MonsterLean/CrossLanguageComplexity.lean|17107ac0428b0429d306f62420c6f495415ef4ebafb35d3d59e4e32f23cda388|shard_4|stage_3
./MonsterLean/DiscoverLattice.lean|2382a348c8525c75dd68954317c1228f4a411357cb95653a36d0f8dbe77432f4|shard_58|stage_3
./MonsterLean/ExpressionKernels.lean|592e64e08e1fc05d50367907fb3c973cb76701f40dc78c86451c8b40a23c4544|shard_26|stage_3
./MonsterLean/ExtractLattice.lean|f6f7f51a8440f86aa5bcba6e6701dc37bd34d2979a2a0bcf1f257351aa24ff13|shard_10|stage_3
./MonsterLean/GradedRing71.lean|5ff8042d0c6b57f1470d800f3ff48492593774c0e6732a2424b95905d07362ac|shard_10|stage_3
./MonsterLean/GraphTheory.lean|fdb76e404773d1b1baf2c6fa84de2c918e211e16659425b7099b2f7e63f2cfd8|shard_66|stage_3
./MonsterLean/JInvariantWorld.lean|17c21c658f21d3ea79379bc10792c5d57c445bcc7f029cf7e19598789bcca290|shard_26|stage_3
./MonsterLean/LogarithmicAnalysis.lean|3ad94d5c69d9d475f9f518bbf5750d09a4cd869bc4b2bda69013083a97cf7800|shard_34|stage_3
./MonsterLean/MetaCoqToLean.lean|157cf68cc6d87aaa2e3dda4cb4fe08e8a775b57410bd1a8dc45c18e2e18d2baa|shard_25|stage_3
./MonsterLean/MonsterAlgorithm.lean|adccaa62941b63b2cdb20bc0edaa48f7c610bb2c1c82497843f0faa178fb8dfa|shard_20|stage_3
./MonsterLean/MonsterAlgorithmProofs.lean|99c0bc6e17ccb9de31bfad10b5f04b93d5812c5913761dff3f7a3cb03061c9bd|shard_36|stage_3
./MonsterLean/MonsterAlgorithmSimple.lean|a56580315fe9ae5634c40250bf3da2698e9b4f713d360f8f3c14e9441da6ad03|shard_19|stage_3
./MonsterLean/MonsterExponents.lean|23c4c7edf66b7c30bb21bf82d5e2821f3fb6173323801604676c21cc798b574c|shard_52|stage_3
./MonsterLean/MonsterHarmonics.lean|f740d501fa778cf51c2de986aee89325ba0fc8d84c7438b20dd5c2e821e2ad1d|shard_35|stage_3
./MonsterLean/MonsterLattice.lean|aed282d594a50d2100ead43cdf175ec2a6074646d864ec53d5c0fad669246aa5|shard_53|stage_3
./MonsterLean/MonsterLayers.lean|db8565e92e2e6cd250d89448cd47d18e864d5e45e44bcac17cc21b6a69169d7c|shard_69|stage_3
./MonsterLean/MonsterReflection.lean|21ce2f9341e0c7d8d1744eda6d4f101faa8676adeeb4bc1fd76dedff72047ca2|shard_14|stage_3
./MonsterLean/MonsterResonance.lean|e28be70fed8ebdd4fad1df101c820b4d850a6f3f64fa26443f7e21cbfb2fc2dd|shard_43|stage_3
./MonsterLean/MonsterShells.lean|295d1fde2952dc461c84b76ee086708a1e9a94513c527432324269d6d363e855|shard_23|stage_3
./MonsterLean/MonsterTheory.lean|7c75f2bb0dc8d90aef5c1a3c76533165cb9fc713cdf2afff13b071783259c5e7|shard_31|stage_3
./MonsterLean/MonsterWalk.lean|19b0eda64234a96fab2414fc1b0b3bd9e669ed96982cf60fb3636a64a73c0f09|shard_52|stage_3
./MonsterLean/MonsterWalkOnLean.lean|a1f59180724c1caafa40e167c724812691125f9983a90c83d0b1cdbe722121d8|shard_35|stage_3
./MonsterLean/MultiDimensionalDepth.lean|dc82258d7bdce14d0ee0411138dc0aa553bc450f8c1cb3ddcf6dffb3ca34b381|shard_43|stage_3
./MonsterLean/MusicalPeriodicTable.lean|3ee09df51a57fc348be6117a2841de62d3999f011a8c0948694b9def5c53e6f9|shard_46|stage_3
./MonsterLean/Operations71Proven.lean|9f73e1613435a5ef4b68d8fb911353980a87796faa4f1b32a6403a2321616b14|shard_27|stage_3
./MonsterLean/PartitionByShells.lean|ed28cf60dfa2a29c39e006cdebe6e24e29d9c68a878f05b5dd1ea08dd586fa8c|shard_1|stage_3
./MonsterLean/PartitionMathlib.lean|7045d1af569196b3cb0df7c84d93e1be3e3054210fb96dda67cac3ac3bd9d941|shard_32|stage_3
./MonsterLean/PrecedenceSurvey.lean|2737360e4a3bffcfb57f7526f2c8e8acc8e0e0afcf3b6c4b226091b91e8886af|shard_6|stage_3
./MonsterLean/Prime71Precedence.lean|7abf6ae717b58e5c707857d4965112d2ec336ff03952d8f4e5ab4ef5ff8dda1b|shard_13|stage_3
./MonsterLean/ProcessMonster71.lean|40950ab1dd93e1c50470c66f280d0bf1199759a0a711cdaa03f59d2d4c4ca63e|shard_9|stage_3
./MonsterLean/RunDiscovery.lean|62051112cf71dedfb6972caae7e30bb126dda5cd6272e21b011b19c677eda2f7|shard_58|stage_3
./MonsterLean/SearchMonsterExponents.lean|c5d7365d854b9d1f9b15fd8ca1e2a2ccadaade131c32e805dc43a783ca30bcda|shard_2|stage_3
./MonsterLean/TestLattice.lean|6bf9c128ea78e3cdc69ea950d134f838e8925b4aa4f969da4134dd9ba0706a33|shard_27|stage_3
./MonsterLean/TopologicalReading.lean|564c904e1089fbcb5c5fcc2d70a99d525da374d3c281ac6cf703d6e5a2826d2c|shard_55|stage_3
./MonsterLean/ZKRDFAProof.lean|8873c2524a540526fe4314e8c17f19f375fc86dc5d1ae4f40d4b23a79004f61a|shard_43|stage_3
=== Stage 4: Bootstrap introspection ===|unbuildable||stage_4
./pipelite_nix_rust.sh|a52db33b429b08a59e3f76278b3968e8134568e2cd9a09916f840bcb50dc0a70|shard_66|stage_4
./pipelite_proof_to_song.sh|13ca96d3b788dd11f185a6f1c70821858e1464a12b867e25b96c7c797e22cbff|shard_62|stage_4
./prolog/monster_walk_circuit.pl|803b8e8446746231ebf886d721aecd0801467067fe180c04295abb01cbe8be2a|shard_65|stage_4
=== Stage 5: Bootstrap introspection ===|unbuildable||stage_5
./Cargo.toml|31d624573be13b2d44e536c4572ae589c8e629f91eae08613a80e5980a884593|shard_7|stage_5
=== Stage 6: Bootstrap introspection ===|unbuildable||stage_6
=== Stage 7: Bootstrap introspection ===|unbuildable||stage_7
